,label,data
7,1,그 여자 막 이렇게 옷 줄 끈 옷 그거죠
8,1,같이 이렇게 트레이닝 받고 그랬겠죠
9,1,그래서 시위 가고 그랬었죠
10,1,그랬죠
11,1,일 주일이나 십 오 일 남았을 땐 내가 형이라 그랬죠
12,1,그 누구라 그랬죠
13,1,제가 그랬죠
14,1,맨 마지막 껍질을 얘기한다 그랬죠
15,1,형 거기 칠개월 정도 있었다 그랬죠
16,1,그 아줌마는 그 수술 몇 번 했다고 그랬죠
17,1,목표를 작게 잡으라 그랬죠
18,1,그랬죠
19,1,사람마다 다른가 보다 그랬죠
20,1,안 그러겠죠
21,1,그러겠죠
22,1,공무원이라 그러셨죠
23,1,그러죠
24,1,어떨 때 우리가 사람을 극성스럽다 그러죠
25,1,여유를 찾을라 그러죠
27,1,에 많이 그러죠
28,1,막 되게 많이 움직이구 그러죠
29,1,달라구 그러죠
30,1,그렇겠죠
31,1,그렇죠
33,1,그렇죠
35,1,아 그렇죠
36,1,정말 하기 싫어서 그렇죠
37,1,네 그렇죠
42,1,그렇게 끝나면 그렇죠
43,1,거기까진 그렇죠
45,1,그렇지 안 그렇죠
46,1,그렇죠
0,1,그럼 나 같은 경운 어떻게 해야 되죠
1,1,뭘 얘기하면 되죠
2,1,아 지금 얘기해도 되죠
3,1,근데 홉스봄 이야기는 그런 이야 홉스봄 이야기를 아까 연결시키면 그렇게 되 되겠 되죠
4,1,이게 세계화랑 연결이 되죠
5,1,예상이 되죠
6,1,차단이 안 되죠
7,1,말해야 되죠
8,1,콜라 리필 되죠
9,1,훨씬 두껍죠
10,1,드럽죠
11,1,아까 말씀 드렸죠
12,1,제가 아까 잠깐 설명해 드렸죠
13,1,뭐 햄버거나 피자 이런 거 잘 안 드시죠
14,1,다시 듣죠
15,1,들리겠죠
16,1,이번에 들어가겠죠
17,1,한 위도까지 배 타고 한 사십 분 타고 들어갔죠
18,1,부르면은 금방 또 귀에 들어오겠죠
19,1,제가 본 건 그 종교 얘기 다음부터 들었죠
20,1,처음부터 안 들었죠
21,1,아니 그래서 그 얘기 들었죠
22,1,잠자리에 들었죠
23,1,딸이죠
24,1,맞을 짓 많이 하는데 못 때리죠
25,1,척추 때문이겠죠
26,1,똑같죠
27,1,여긴 다 똑같죠
29,1,아 다 뚫렸죠
30,1,가운데로 뚫리죠
31,1,다시  뚫리죠
32,1,밥 차려 놨다 그러면 바로 뛰어가죠
33,1,아 뭐 같은 마음이죠
34,1,랜 선도 마찬가지죠
35,1,세태를 만들었죠
36,1,써서 매뉴얼을 만들죠
37,1,전형 진짜 많아졌죠
38,1,이쁜 애가 많았죠
39,1,많죠
40,1,아 방법이야 많죠
44,1,꽤 많죠
45,1,재밌는 일 많죠
46,1,따라한다는 말씀이시죠
47,1, 아니란 말이죠
48,1,잠재적으로 자발적인 존재라고 인정한다는 거 이 말이죠
49,1,지금은 본인이 그 시도해 들어가는 그런 그 동작이 말이죠
0,1,없죠
1,1,근데 근까 교회 안에서는 이런 얘기를 할 수가 없 없죠
2,1,라고 해 놓고는 별 얘기가 없죠
3,1,시 공간의 분리가 세계화와 연결할 수는 없죠
4,1,그 카이 같은 경운 말할 필요도 없죠
5,1,뭐 어쩔 수 없죠
6,1,얘기할 사람 말곤 없죠
7,1, 없죠
8,1,아니 그래 본 적 한 번두 없죠
9,1,고거만 하는 전문으로 하는 그니까 영어가 좋을 수밖에 없죠
10,1,근데 거기서 먹고 놀고 할 수는 없죠
11,1,무조건 떨어뜨리고 이런 건 없죠
12,1,못 오시는 분 없죠
13,1,기존에는 아무 문제 없죠
14,1,하나밖에 없죠
15,1,그니까 할 말이 없죠
16,1,아르바이트 눈물의 역사였죠
17,1,오프사이드죠
18,1,에 오프사이드죠
19,1,그럼 혈당이 올라가죠
20,1,확 올르겠죠
21,1,전체 올리죠
22,1,시간도 없으니까 그냥 자리를 저 옮기시죠
23,1,갔다 왔죠
24,1,저희두 서열 외우죠
25,1,분자의 운동이죠
26,1,되게 많이 울었죠
27,1,팝업 원이겠죠
28,1,좋은 위치죠
29,1,분석 들어가자 이거죠
30,1,제기했던 문제 같은 건 해결이 되 된다 이거죠
31,1,왜 이러시죠
32,1,에스피쓰리를 이뤘죠
33,1,막 이런 애들이 이쁘죠
34,1,이쁘죠
35,1,이거 이상하죠
36,1,이상하죠
37,1,어디까지 이야기했죠
38,1,이어지죠
39,1,그리구 다음주 팔월 이일부터죠
40,1,이죠
41,1,스물 일곱이었죠
42,1,고양시가 일산이죠
43,1,정하구 일어나죠
44,1,오빠가 일조였죠
45,1,아니 나 거의 안 읽었죠
46,1,아 있겠죠
47,1,아니 뭐 상 주는 사람하고 다 알고 있겠죠
48,1,뭐 몇 몇 대학들이 있겠죠
49,1,있겠죠
0,1,좋죠
1,1,가면 좋죠
2,1,대다수의 멍청한데 자기가 똑똑한 줄 아는 애들이 하는 게 좋죠
3,1,아 경희 형 너무 좋죠
4,1,피부 색깔이 안 좋죠
5,1,해 주겠죠
6,1,한번 정리를 해 주시죠
7,1,동그랗게 좀 앉아 주시죠
8,1,자 앞으로 길게 찔러 주죠
9,1,가장 지금 그 아인트호벤의 그 주포죠
10,1,그 다음날 죽죠
11,1,맞아 죽죠
12,1,오 중대죠
13,1,물론 이름이 중요하죠
14,1,중요하죠
15,1,무지 중요하죠
17,1,젖혀 줬죠
18,1,보면은 진짜죠
19,1,그런 쪽이죠
20,1,찢었죠
21,1,근데 이게 어디로 가는 차죠
22,1,관중석에 앉아서 경기를 보는 그 표정 착잡하죠
23,1,로데오거리 있는 데 그쪽이 청담동이죠
24,1,축제죠
25,1,스위스 출신이죠
26,1,캠코더죠
27,1,충격이 컸죠
28,1,되게 크죠
29,1,벤트 타입이죠
30,1,이렇게 있는 게 탄소죠
31,1,아 슬라이딩 태클이죠
32,1,이거는 종교 개혁을 통해서죠
33,1,그건 그거랑은 틀리죠
34,1,틀리죠
35,1,그런 생각이랑은 틀리죠
36,1,박지성 좋은 패스했죠
37,1,이쪽에 똑같은 힘을 가진 게 들어오니까 다시 펴지겠죠
38,1,개발자나 사용자한테는 굉장히 편리하겠죠
39,1,편하죠
40,1,브라질만 포르투갈어죠
41,1,주 연령에는 라이프 스타일적인 것도 포함되죠
42,1,그런 표정이죠
43,1,네덜란드를 대표할 만한 그런 유망주가 저렇게 지금 벤치에 앉아 있는 모습 말이 그 아주 침통한 표정이죠
44,1,꼭 필요하죠
45,1,그건 에너지가 필요하죠
46,1,공부를 어느 정도 해야 그 조절을 하겠죠
47,1,공고를 다시 하셔야겠죠
48,1,그 얘기 하셨죠
49,1,학부도 사회학 하셨죠
0,1,굉장히 가깝죠
1,1,가깝죠
2,1,뉴코아 가깝죠
3,1,술이나 한잔하고 가시죠
4,1,근데 이십 분 시간은 금방 가죠
5,1,가죠
6,1,육백 송이 막 혼자 못 들고 가죠
7,1,아 갔다왔죠
8,1,아우 형 공군 가서 삼십 개월 갔다왔죠
9,1,군대를 갈 정도가 됐으면은 학교도 갔었겠죠
10,1,자신은 앞으로 갔죠
11,1,그걸로 세계화를 연결시키는 것 같죠
12,1,그런 것 같죠
13,1,근까 다시 이게 편하니까 뼈가 다시 가는 거겠죠
14,1,수를 늘리겠다는 거였죠
15,1,이 골 까는 거죠
16,1,제목만 들어가는 거죠
17,1,아닌 거죠
18,1,석사들한테도 절대적으로 부족하다는 거죠
19,1,그까 정해진 건 없는 거죠
20,1,근까 이 수단이라는 거죠
21,1,아무리 영 컴마 영 줘도 이제 안 되는 거죠
22,1,얘기 나온 김에 계속하는 거죠
23,1,이 골 까는 거죠 이게 힘든 거죠
24,1,저희랑 어긋나는 거죠
25,1,그럼 일단 이 세 개의 공통점을 먼저 얘기해 줘야 되는 거죠
26,1,그런 고전적 조건 형성을 얘기하는 거죠
27,1,통계적 추정에서만 되는 거죠
28,1,그냥 십팔 대는 정말 깔끔하게 그검 빼면 다 해결된 거죠
29,1,제가 제대로 얘길 못 해서 그런 거죠
30,1,근까 나의 종 종교를 전파하는 거죠
31,1,그 얘기 계속 하신 거죠
32,1,이것저것 첨가한 거죠
33,1,먼저 한 사람들을 모방하는 거죠
34,1,그 피크가 인터넷이라는 거죠
35,1,다른 거죠
36,1, 다 속하는 거죠
37,1,근까 이게 우리 잇 인제 어린 아이들한테는 더 무서운 거죠
38,1,통제를 받는 거죠
39,1,그걸 말하는 거죠
40,1,있는 거죠
41,1,반작용으로 나타나는 게 아니라는 거죠
42,1,이렇게 얘기를 하는 거죠
43,1,세계화를 위해서 민족성을 이용하는 거죠
44,1,근까 공간이 분리되는 거죠
45,1,이걸 말하는 거죠
46,1,지금은 뭐 완전히 그 수비가 잘 걷어 낸 거죠
47,1,아 지금 그 당연한 거죠
48,1,석유 재벌로서 인제 축구에다가 완전히 그냥 그 퍼붓는 거죠
49,1,껄끄러운 거죠
0,1,어디를 가든지요
1,1,가변적이지요
2,1,하나하나씩 쌓아 가지요
3,1,갈색이지요
4,1,대화는 탁구와 같지요
5,1,결국 두 사람 모두에게 있는 거겠지요
6,1,하는 거지요
7,1,자신이 이기고 싶어하는 거지요
8,1,상대방에게 돌려주는 거지요
9,1,추구하는 거지요
10,1,씹을 필요도 없다는 거지요
11,1,아주 그 대규모 시장을 말하는 거지요
12,1,개발이 되었다는 것이지요
13,1,지키고 있는 것이지요
14,1,자신이 지라는 것이지요
15,1,줄이라는 것이지요
16,1,모르는 것이지요
17,1,대화를 이끌어 가는 것이지요
18,1,세상을 보는 것이지요
19,1,등에도 주의를 기울이면서 듣는 것이지요
20,1,사실은 상대방의 말을 잘 들을 수 없다는 것이지요
21,1,비언어적 특징들을 사용하는 것이지요
22,1,말을 잘 안 하는 것이지요
23,1,적당한 거리를 찾는다는 것이지요
24,1,그 사람이 잘못 안 것이지요
25,1,말하는 경우이지요
26,1,굵어지지요
27,1,그렇지요
28,1,무슨 그림이지요
29,1,엄마한테 달래면 되니까 그지요
30,1,방울 자가 들어간다 그지요
31,1,산에 갔다왔다 그지요
32,1,금요일까지요
33,1,꼬마까지요
34,1,생각만 해두 끔찍하시지요
35,1,인증 기관으로 세 가지의 주요 기관이 있다 라는 표현이 나오지요
36,1,그냥 나타나지요
37,1,너무 늦지요
38,1,다르지요
39,1,뭔가 또 다르지요
40,1,원하는 것이 달라지지요
41,1,당황스럽겠지요
42,1,흔히 접하게 되는 대화이지요
43,1,에 중앙에서 데종이래든지요
44,1,예측이 돼야지요
45,1,경계를 설정해야 되겠지요
46,1,훨씬 좋은 방법이 되겠지요
47,1,오류를 범해서는 안 되겠지요
48,1,좋은 인상을 가지게 되겠지요
49,1,라고 생각을 말하게 되겠지요
0,1,하늘나라에 가까워지게 되겠지요
1,1,이해하시면 되겠지요
2,1,짜증스러운 태도로 말하게 되겠지요
3,1,하고 불평을 하게 되겠지요
4,1,하면서 더 다가가게 되겠지요
5,1,그런 것들이 대개 여기에 속하게 되겠지요
6,1,생각을 하게 되지요
7,1,닫게 만드는 일이 되지요
8,1,장애 요소가 되지요
9,1,작용하게 되지요
10,1,하고 불평을 하게 되지요
11,1,직접 관련이 되지요
12,1,더 형태소가 아니게 되지요
13,1,뭐가 뭘 뭘 어떻게 더 얘기를 해야 되지요
14,1,결정이 되지요
15,1,저 시간 몇 분까지가 되지요
16,1,저절로 들겠지요
17,1,뛰어 들어가지요
18,1,여러분들 인터넷 많이 들어가지요
19,1,노력이 들지요
20,1,될 때까지요
21,1,하지 않았기 때문이지요
22,1,쑥스러워지기 때문이겠지요
23,1,생각하기 때문이겠지요
24,1,놀라기 때문이겠지요
25,1,마음속이지요
26,1,오만한 마음이지요
27,1,간간이 인제 나이 든 부부들이 나와서 우리는 어떻게 어떻게 만났지요
28,1, 디비에서 만들어야지요
29,1,분위기가 아주 어색해지고 말겠지요
30,1,잃게 되고 말겠지요
31,1,라고 말씀하시겠지요
32,1,결정한다는 말이지요
33,1,친교 유지를 위한 말이지요
34,1,매화이지요
35,1,케즈만 선수의 모습이지요
36,1,신기한 모습이지요
37,1,그건 이차적 저작물 문제이지요
38,1,받아들여지겠지요
39,1,방법이지요
40,1,아주 훌륭한 대화의 방법이지요
41,1,언어적인 반응만을 하는 방법이지요
42,1,변화무쌍하지요
43,1,혹시 비오티라는 개념을 들어 보셨는지요
44,1,신체적인 변화를 보이지요
45,1,에 유사한 구도를 보이지요
46,1,아 그런 만회를 할 수 있는 좋은 기회를 잡았다고 보지요
47,1,할 말에 대한 생각이 다를 뿐이지요
48,1,선입견에 사로잡혀 있는 사람들이지요
49,1,부정하는 말들을 사용하지요
0,1,화풍이 굉장히 상이하지요
1,1,공격이 나가는 그런 그 상황이라든지요
2,1,자의식이 생기지요
3,1,상당히 문인적인 소재이지요
4,1,스포티지요
5,1,한 시까지요
6,1,몇 시까지요
7,1,듣고 싶어하지요
8,1,대도시 사람들은 더 거리를 유지하고 싶어하지요
9,1,백화점이나 이런 정품을 사는 것보다 훨씬 싸지요
10,1,싸지요
11,1,좋은 데 쓰시겠지요
12,1,같은 자격을 갖는 것은 아니지요
13,1,보내고 계시진 않는지요
14,1,그렇지가 않지요
15,1,알지요
16,1,대화가 지속되기 어렵겠지요
17,1,기가 막힐 상황에 있으니까 마음이 어렵지요
18,1,단호하게 반대되는 견해를 나타낼 필요가 없겠지요
19,1,참을 수 없겠지요
20,1,하고 되물을 수밖에 없겠지요
21,1,대화가 지속될 수 없지요
22,1,거의 없지요
23,1,특별히 문제가 되는 내용을 말한 것도 없지요
24,1,어쩔 수 없는 없지요
25,1,오늘까지요
26,1,요소지요
27,1,또 같이 기도하면 우시지요
28,1,지금은 육십사비트지요
29,1,돌리면은 이렇게 이동하지요
30,1,일반적이지요
31,1,어리석은 일이겠지요
32,1,상대방에게 돌려주는 일이지요
33,1,다르게 읽지요
34,1,역효과를 가져올 수 있겠지요
35,1,이길 수 있겠지요
36,1,들릴 수 있겠지요
37,1,오해가 생길 수 있겠지요
38,1,더욱 활성화시키는 역할도 할 수 있겠지요
39,1,당연히 그렇게 생각을 하실 수 있겠지요
40,1,포놀로지에 영향을 받을 수도 있는지요
41,1,행동주의 이론이 제멋대로 뒤섞여 있었지요
42,1,우리를 치료했던 경험들이 있으시지요
43,1,있지요
44,1,갈대 있지요
45,1,최소화하고 있지요
46,1,어색해질 수 있지요
47,1,그 사랑 받고 있지요
48,1,저런 동작은 옐로카드를 어 주어질 수 있지요
49,1,송종국 선수만 있지요
0,1,네 쌍이 있지요
1,1,여기 셋 써 있지요
2,1,비디오 오디오 돼 있지요
3,1,검정색 있지요
4,1,흰색 보통 있지요
5,1,굉장히 작지요
6,1,장관이지요
7,1,좋은 대화가 된다는 점이지요
8,1,일단 넘어가서 앞으로 돌아가서 정리하지요
9,1,참 좋겠지요
10,1,라고 말씀하시면 좋겠지요
11,1,좋겠지요
12,1,그렇지 않다고 부인하는 것을 더 좋아하겠지요
13,1,또 가격도 중요하지요
14,1,소리를 지르지요
15,1,초조해지겠지요
16,1,가슴이 출렁하시지요
17,1,코리아타임지요
18,1,잘 보내야 하겠지요
19,1,어떤 옆 방언권의 영향을 받기도 하겠지요
20,1,각자 조별로 논의를 하시든지요
21,1,하시지요
22,1,생기기도 하지요
23,1,전화를 끊고 나서 한마디 하지요
24,1,아무 말도 안 하지요
25,1,안으로 잠그기까지 하지요
26,1,사춘기는 정서적인 이유기라고 하지요
27,1,이라고도 하지요
28,1,음 이제 해야지요
29,1,여성들의 대화 목적이 뭐라고 했지요
30,1,대화는 협동이지요
31,1,휴지요
0,1,사람들이 과연 이게 무슨 광고인지에 대해서 굉장히 의문을 많이 가졌잖아요
1,1,제가 생각에는 좀 모순인 거 같아요
2,1,정말 우리 나라 문젠 거 같아요
3,1,소개를 해서 같이 나누면 좋을 거 같아요
4,1,결국은 두 가지 이유인 거 같아요
5,1,개인이든 국가적인 측면에서 간에 어려울 거 같아요
6,1,그런 거 같아요
7,1,네 가지 것과 같아요
8,1,이부만 하기에도 상당히 시간이 빡빡할 거 같아요
9,1,디피아이는 이제 주로 홍보 어 공보처잖아요
10,1,주로 인제 상근자 중심의 구조잖아요
11,1,근데 아마 사실 뭐 그렇잖아요
12,1,뭐 그렇잖아요
13,1,이런 데로 나가는 사람들이 정말 그렇잖아요
14,1,근데 엔지오에 근무하는 사람들은 대체적으로 그렇잖아요
15,1,지금 이제 팅이라는 그 어떤 소리가 계속 나오잖아요
16,1,아 시민 운동 단체가 굉장히 다양하잖아요
17,1,나쁜 짓은 다 한 사람으로 치부가 됐잖아요
18,1,우리가 홀맨 하면 이제 카이 홀맨이란 서비스를 당장 떠올릴 수가 있게 되잖아요
19,1,시민 엔지오 쪽으로 인제 많이 들어왔잖아요
20,1,교회나 목사님 재산으로 된 게 너무 많아요
21,1,만능 로봇이라고 생각하는 사람들이 매우 많아요
22,1,라고 생각하는 사람들이 많아요
23,1,이렇게 질문하는 사람들 많아요
24,1,그 운동을 해 왔던 분들이 많잖아요
25,1,많잖아요
26,1,그런 게 사실은 법조계에 가지고 있는 문제잖아요
27,1,자기가 저작권은 받아요
28,1,처벌을 받잖아요
29,1,부분이었잖아요
30,1,밑바닥부터 인제 올라가 살잖아요
31,1,그런 글을 썼잖아요
32,1,엔지오가 법인이 아니잖아요
33,1,난 알아요
34,1,그러나 시민 단체의 현실을 자세히 들여다보지 못하고 그렇게 얘기하면은 무책임한 얘기잖아요
35,1,국가나 기업의 힘으로서는 해결하기가 어렵잖아요
36,1,자기 의견을 말할 수 있는 게 없잖아요
37,1,연봉급이잖아요
38,1,임은경이 토마토를 맞는 이제 광고가 있었잖아요
39,1,소수의 의견을 존중하는  다수결의 원리에 의해서 가는 것도 있잖아요
40,1,그렇게 얘기를 많이 하는 그 비판이 있잖아요
41,1,더 어려운 상황 속에서 있잖아요
42,1,능력 있는 사람들은 있잖아요
43,1,돈이 필요한 곡선이 딱 있잖아요
44,1,정체성이나 이런 거 다 가지고 있잖아요
45,1,다원성에 있잖아요
46,1,유엔에 에 엔지오가 이제 공식적으로 가입돼 있잖아요
47,1,에 뭐 그니까 바다 밑이 오염되는 거 있잖아요
48,1,우리 나라를 비롯해서 전 세계 경제에 지금 다 영향을 끼치고 있잖아요
49,1,나는 공짜가 좋아요
0,1,굉장히 이제 상징적인 자극들이 많이 등장을 하잖아요
1,1,광고가 특징이 이제 복고적인 분위기가 이제 등장을 하잖아요
2,1,흔히 그런 소리들 많이 하잖아요
3,1,이 했잖아요
0,1,거기 신문선 위원하고 둘이 같이 갔어요
1,1, 그건 귀에 거슬렸어요
2,1,김용만 결혼했어요
3,1,아주 좋았다고 그랬어요
4,1,그리구요 아니 몇몇의 사람들은요 참 좋았다고 그랬어요
5,1,언니 얘길 들으니까 생각이 났어요
6,1,돌아왔어요
7,1,자꾸 일본을 쫓아가서 이렇게 된 게 아닌가 싶은 생각도 들어요
8,1,그런 거같이 오락 프로도 그런 것이 있지 않나 생각이 들어요
9,1,느낌 요즘은 좀 그런 생각도 들어요
10,1,너무 정말 폭력적으로 하는 경우가 많다는 생각이 들어요
11,1,저 그런 게 되게 마음에 안 들었어요
12,1,맞어요
13,1,이렇게 하는 거 그게 그렇게 중요한 건지 잘 모르겠어요
14,1,보셨어요
15,1,근데 정말 아주 생각 없이 그걸 봤어요
16,1,아니 못 봤어요
17,1,이 가방 왜 사셨어요
18,1,그저 그 소비자가 아니라 진짜 그 공급자 중심의 어떤 방송으로 인해서 소비자가 많이 피해를 보는 게 아닌가 싶어요
19,1,가방 보면서 이것도 외제네요 뭐 예 뭐 아 외제 요즘 외제 안 쓰는 사람이 어딨어요
20,1,간혹 가다 출석을 안 부르는 선생님들이 있어요
21,1,그러면 그 어떻게 했으면 좋을까 대안에 대해서도 좀 얘길 해 봤으면 좋겠어요
22,1,격식을 맞춰서 했으면 좋겠어요
23,1,나는 그런 거 안 했으면 좋겠어요
24,1,우리가 한마디하는 게 아이들한테 어떤 영향을 줄 것인지를 생각하고 나서 좀 말을 했으면 좋겠어요
0,1,저기 해야 될 것 같애요
1,1,그런 교육도 필요한 거 같애요
2,1,어린이들이 그 유행어를 뭐 들을 순 있겠지만 이렇게 직접적으로 접하지는 않을 거 같애요
3,1,그 오염된 물들이 그냥 하천으로 쏟아져 나오듯이 그냥 나오는 거 같애요
4,1,생각을 해 봐야 할 것 같애요
5,1,이렇게 아무 아무데서나 막 남발을 하는 것 같애요
6,1,아 의례히 그런 그런가 보다 하고 받아들이는 그런 문제점이 큰 거 같애요
7,1,이런 상말이나 은어 유행어 사용이 순기능을 가질 수 있다면  좀 예를 들어서 구체적으로 생각을 해 봐야 될 것 같애요
8,1,또 그 다음에 죽여요 죽여 막 이런 소리 그 다음에 영어적인 표현의 오 마이 갓은 굉장히 유행어 유행이 많이 되는 것 같애요
9,1,예 그런 것 같애요
10,1,왜냐하면은 제가 생각하기에는 일 번하고 이 번하고는 좀 밀접한 것 같애요
11,1,아니 근데 그 엠비씨가 제가 보기엔 좀 심한 거 같애요
12,1,그러니까 그게 언니 그게 양면적인 것 같애요
13,1,여자들인 거 같애요
14,1,그런 게 가장 저런 게 심한 거 같애요
15,1,정말 그 그 뭐야 소비자라는 생각을 안 하기 때문에 그런 거 같애요
16,1,저 같으면 사실 응하지 않을 거 같애요
17,1,그게 다 방송이 폭력인 것 같애요
18,1,그렇게 되면 맞춤법도 좀 많이 흔들릴 것 같애요
19,1,모기 같애요
20,1,또는 뭐 말 실수 한 걸 노골적으로 자막 처리를 해서 보여준다는 것 그런 게 좀 문젠 거 같애요
21,1,정말 청각 장애자들은 어쨌든 시각적으로 그런 자막 방송이 나오면은 많이 도움이 될 것 같애요
22,1,그냥 대부분 그냥 말장난으로만 하니까 그게 문젠 거 같애요
23,1,그게 문젠 거 같애요
24,1,그렇게 자랐음에도 불구하고 그런 영향이 없어졌다고 보지는 않애요
0,1,뭐 신 나서 신 나서 가리켰어요
1,1,에 얼마나 그랬어요
2,1,그랬어요
3,1,거의 제일 높았어요
4,1,시안용이라고 해 놨어요
5,1,속으론 그런 생각이 들어갔어요
6,1,자유 총연맹도 들어갔어요
7,1,작년에 들어갔어요
8,1,많이 오르내리는 단어도 아마 없을 거라는 생각이 들어요
9,1,이유는 없다고 생각이 들어요
10,1,그런 생각이 들어요
11,1,아마 우리 시민 단체들이 이제 생각해야 될 그런 문제라고 생각이 들어요
12,1,연봉 서열제가 가지는 장점도 많았어요
13,1,내용들에 국한됐다는 느낌을 받았어요
14,1,모집을 하는 걸 신문에서 난 걸 제가 봤어요
15,1,에 광고 시안용으로 제작해 썼어요
16,1,그 제한은 없어요
17,1,일하는 데 차이가 없어요
18,1,그 다음에 지원금이 없어요
19,1,원만히 해결할 수가 없어요
20,1,저작권 귀속에는 아무 영향이 없어요
21,1,유효할 수가 없어요
22,1,차별 차별할 수가 없어요
23,1,아무 관계가 없어요
24,1,해서 할 수가 없어요
25,1,전용 권을 이용을 할 수가 없어요
26,1,사람마다 다르게 표현할 수가 없어요
27,1,공무원 이런 데서는 연 연봉 서열제를 할 때는 문제가 없었어요
28,1,질문을 해 오셨어요
29,1,회의에 왔어요
30,1,이용하라고 통고가 왔어요
31,1,그때 그 국제 엔지오 관련 인사가 왔었어요
32,1,그리고 단체가 무슨 어떤 업적을 이뤘어요
33,1,찬성하는 사람도 있을 수 있을 수 있어요
34,1,중앙에 있는 실무자들은 굉장히 지쳐 있어요
35,1,뭐 그 저 시민 운동 하다가 정치권으로 들어간 사람들 있어요
36,1,생계비 그 그 어떻게 그걸 뽑는가 그게 거기 나와 있어요
37,1,그래서 생계비가 여러 개가 있어요
38,1,이런 몇 가지 조직에 쭉 있어요
39,1,그 쭉 써 놓은 게 있어요
40,1,그런 부분 있어요
41,1,작년에 혹시 방콕 갔다오신 분 있어요
42,1,에 그 디피아이 소속돼 있는 엔지오들이 있어요
43,1,이웃사랑회 같은 데가 제너럴 스테이터스에 들어가 있어요
44,1, 저작권이 있어요
45,1,대리 기사라는 것이 있어요
46,1,이렇게 말할 수가 있어요
47,1,여러 가지 경우가 있어요
